Year,Region,Island,GPS_name,Sample_type,Species,N15
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.55
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.4
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.76
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.94
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.9
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.79
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,11.09
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.8
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.51
2015,Chagos,Eagle,Eagle-Fish,Fish,Plectroglyphidodon lacrymatus,10.31
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-3.48
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-1.87
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.09
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.52
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.52
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.84
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-4.03
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.08
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-2.93
2015,Chagos,Eagle,Eagle-Leaves,Leaves,Scaevola taccada,-1.85
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,6.11
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,3.99
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,4.52
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,5.14
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,5.18
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,4.21
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,4.83
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,6.82
2015,Chagos,Eagle,Eagle-Macroalgae,Macroalgae,Halimeda,4.32
2015,Chagos,Eagle,Eagle-Soil,Soil,Soil,2.43
2015,Chagos,Eagle,Eagle-Soil,Soil,Soil,2
2015,Chagos,Eagle,Eagle-Soil,Soil,Soil,2.62
2015,Chagos,Eagle,Eagle-Soil,Soil,Soil,2.64
